Repr_id,REPR_FACI,REPR_DIST,TYP_CASE,REPR_NM,REPR_PHON_NUM,REPR_D,TYP_REPR_DISE_COND,LN_CASE,FN_CASE,DOB,NATL,CASE_UID1,CASE_UID2,DIST_CASE_RESI,DIST_CASE_RESI_TYP,SEX,OCCU,PHYS_ADDR,NEAR_LMK,PHON_NUM_CASE,PARE_CARET_NM,D_SEEN_FACI,VACC,VACC_TYP_VAC,VACC_NUM_DOSE,D_FACI_NOTI_DIST,D_L_VACCI,RECE_TRAV_HIST,D_O_RETU,ANY_CONT_OT_CASE,ANY_CLUSTER,D_ONSE,PREG_CASE_FEM,TRIM,PRES_SYMP,U_CONDS,COVI_HIST,P_COMPL_FRM_NM,D_S_COLL,D_S_SENT_LAB,S_TYP,S_COND,D_LAB_RECE_S,TYP_O_TESTS_PERF,TEST_PLAT,FIN_LAB_RESU,D_LAB_SENT_RESU_DIST,D_RESU_SENT_HCW,D_DIST_RECE_RESU,CASE_F_O,CASE_F_CLASS
MOH1476618921,1313,MW-NI,OPD,Scott,+265(0)883346552,2020-06-06,AEFI,Smith,Kayla,1926-02-26,NG,Passport,NG269146,MW-KR,Rural,Female,doctor,P.O.Box 69447 MW-NK,School,+265(0)992989269,Logan,2020-05-30,Covid-19,Johnson & Johnson,1,2020-06-06,2020-05-12,Indigenous,2020-05-15,Confirmed,Hospital,2020-05-17,No,N/A,Fever,TB,No,Benjamin Gonzalez,2020-06-06,2020-06-06,Saliva,Adequate,2020-06-06,PCR,Mobile testing,Positive,2020-06-06,2020-06-06,2020-06-09,Alive,Confirmed
MOH1975376276,2926,MW-ZO,IPD,Jessica,+265(0)885736826,2020-10-09,SARIs,Miller,Scott,1997-06-05,KW,Passport,KW491994,MW-MG,Urban,Male,blank,P.O.Box 75515 MW-NI,Church,,Audrey,2020-10-04,Covid-19,Johnson & Johnson,1,2020-10-09,2020-09-27,International,2020-09-20,No,Work place,2020-09-26,N/A,N/A,Chest pain,COPD,Yes,Vicki Wright,2020-10-09,2020-10-10,OP swab,Not Adequate,2020-10-12,PCR,Molecular Labs,Negative,2020-10-12,2020-10-12,2020-10-15,Alive,Probable
MOH4957262284,2523,MW-MC,OPD,James,,2020-04-13,AEFI,Garcia,Robert,1974-11-14,MZ,Passport,MZ409793,MW-NB,Rural,Male,Engineer,P.O.Box 09743 MW-BL,Market,+265(0)885275178,Samantha,2020-04-09,None,N/A,0,2020-04-13,2020-04-04,International,2020-04-01,No,No,2020-03-21,N/A,N/A,Cough,DM,No,Robert Nelson,2020-04-13,2020-04-13,OP swab,Adequate,2020-04-14,Antigen POC tests,Mobile testing,Positive,2020-04-15,2020-04-15,2020-04-15,Alive,Compatible
MOH1050345785,201,MW-BA,IPD,Anthony,,2020-09-12,SARIs,Brock,Douglas,1924-03-17,MW,NID,MW219282,MW-RU,Urban,Male,lecturer,P.O.Box 96756 MW-KS,Church,,Ashley,2020-09-08,None,N/A,0,2020-09-12,2020-09-06,Indigenous,2020-09-02,No,Hospital,2020-08-20,N/A,N/A,Skin rash,DM,No,Ryan Henderson,2020-09-12,2020-09-13,Blood,Adequate,2020-09-14,Antigen POC tests,Molecular Labs,Negative,2020-09-14,2020-09-14,2020-09-16,Lost,Compatible
MOH4542838650,305,MW-MH,OPD,Martin,+265(0)996324722,2020-12-13,SARIs,Hall,Andre,1946-02-14,ET,NID,ET803643,MW-KR,Urban,Male,politician,P.O.Box 24953 MW-LI,Market,,Michelle,2020-12-12,Covid-19,AstraZeneca,2,2020-12-13,2020-11-27,Indigenous,2020-12-03,Suspected,Work place,2020-11-23,N/A,N/A,Muscle ache,Cardiovascular Dz,Yes,Jennifer Bailey,2020-12-13,2020-12-13,Blood,Not Adequate,2020-12-13,PCR,Mobile testing,Positive,2020-12-15,2020-12-15,2020-12-15,Lost,Probable
MOH3811931607,3520,MW-RU,POE,Jennifer,+265(0)999159545,2020-11-12,AEFI,Branch,Victoria,1986-11-06,CF,Passport,CF125102,MW-MU,Urban,Female,journalist,P.O.Box 02506 MW-NI,School,,Patrick,2020-11-02,Covid-19,Johnson & Johnson,1,2020-11-12,2020-10-21,International,2020-10-15,Suspected,Work place,2020-10-29,Yes,Second,Chest pain,Hypertension,No,David Collins,2020-11-12,2020-11-13,OP swab,Adequate,2020-11-15,Antigen POC tests,Molecular Labs,Negative,2020-11-15,2020-11-15,2020-11-16,TO,Lost
MOH9902304081,1717,MW-DE,OPD,Jill,,2020-05-20,SARS/MERS/COVID,Lynch,Natalie,1984-06-10,BI,Passport,BI531983,MW-MZ,Rural,Female,lecturer,P.O.Box 49828 MW-CK,Market,+265(0)885574413,William,2020-05-17,None,N/A,0,2020-05-20,2020-05-02,Indigenous,2020-05-12,No,Work place,2020-04-30,Yes,Second,Cough,Liver Dz,No,Vanessa Young,2020-05-20,2020-05-21,OP swab,Not Adequate,2020-05-24,PCR,Mobile testing,Negative,2020-05-26,2020-05-26,2020-05-28,Lost,Lost
MOH8124127736,417,MW-DE,OPD,Laurie,,2020-10-22,SARIs,Bridges,Oscar,1951-11-08,GB,NID,GB222827,MW-BL,Urban,Male,banker,P.O.Box 61461 MW-DO,Hospital,+265(0)995433901,Robert,2020-10-20,None,N/A,0,2020-10-22,2020-10-15,Indigenous,2020-10-02,No,Work place,2020-10-17,N/A,N/A,Diarrhea,Stroke,Yes,Karen Rodriguez,2020-10-22,2020-10-22,NP swab,Not Adequate,2020-10-23,Antigen POC tests,Molecular Labs,Negative,2020-10-23,2020-10-23,2020-10-23,Dead,Probable
MOH1898926942,1607,MW-SA,OPD,Kristin,+265(0)992173426,2020-05-25,Unexplained cluster,Hernandez,Tiffany,1978-11-25,IN,NID,IN795697,MW-CR,Urban,Female,minister,P.O.Box 91133 MW-CK,Church,+265(0)993046377,Dana,2020-05-16,Covid-19,AstraZeneca,2,2020-05-25,2020-05-15,Indigenous,2020-05-09,Suspected,Work place,2020-05-13,No,N/A,Chest pain,TB,Yes,Cathy Nguyen,2020-05-25,2020-05-25,OP swab,Not Adequate,2020-05-27,Antigen POC tests,Mobile testing,Positive,2020-05-28,2020-05-28,2020-05-30,Dead,Probable
MOH1079924966,3509,MW-BL,IPD,Rachel,+265(0)993231484,2020-11-25,AEFI,Green,Sarah,1970-10-21,DE,NID,DE791380,MW-NE,Rural,Female,Engineer,P.O.Box 12401 MW-CT,Market,+265(0)885989495,Martin,2020-11-21,None,N/A,0,2020-11-25,2020-11-13,International,2020-11-14,Confirmed,No,2020-11-07,Yes,Second,Other,Stroke,No,Alexander Rasmussen,2020-11-25,2020-11-26,NP swab,Not Adequate,2020-11-27,Antigen POC tests,Mobile testing,Negative,2020-11-27,2020-11-27,2020-11-28,Alive,Probable
